video,frame,person_id,auc,avg_l2,min_l2
002,002041.jpg,1,0.996,0.0411,0.0411
002,002042.jpg,1,0.9932,0.0527,0.0527
002,002043.jpg,1,0.9933,0.0663,0.0663
002,002044.jpg,1,0.9933,0.066,0.066
002,002045.jpg,1,0.9937,0.0527,0.0527
002,002046.jpg,1,0.9944,0.0516,0.0516
002,002047.jpg,1,0.9947,0.0504,0.0504
002,002048.jpg,1,0.9947,0.0504,0.0504
002,002049.jpg,1,0.9945,0.0511,0.0511
002,002050.jpg,1,0.9936,0.0648,0.0648
002,002051.jpg,1,0.9933,0.0644,0.0644
002,002052.jpg,1,0.9934,0.0644,0.0644
002,002053.jpg,1,0.9929,0.0626,0.0626
002,002054.jpg,1,0.9934,0.0626,0.0626
002,002055.jpg,1,0.9931,0.0626,0.0626
002,002056.jpg,1,0.9934,0.0631,0.0631
002,002057.jpg,1,0.9933,0.0551,0.0551
002,002058.jpg,1,0.993,0.0641,0.0641
002,002059.jpg,1,0.9933,0.0637,0.0637
002,002060.jpg,1,0.9931,0.0689,0.0689
002,002061.jpg,1,0.9931,0.0647,0.0647
002,002062.jpg,1,0.993,0.0756,0.0756
002,002063.jpg,1,0.9928,0.0772,0.0772
002,002064.jpg,1,0.9921,0.0779,0.0779
002,002065.jpg,1,0.9919,0.0779,0.0779
002,002066.jpg,1,0.9923,0.0772,0.0772
002,002067.jpg,1,0.9923,0.0779,0.0779
002,002068.jpg,1,0.9924,0.0779,0.0779
002,002069.jpg,1,0.9926,0.0662,0.0662
002,002070.jpg,1,0.993,0.0563,0.0563
002,002071.jpg,1,0.9938,0.0567,0.0567
002,002072.jpg,1,0.9944,0.0436,0.0436
002,002073.jpg,1,0.9945,0.0441,0.0441
002,002074.jpg,1,0.9944,0.0555,0.0555
002,002075.jpg,1,0.9947,0.0539,0.0539
002,002076.jpg,1,0.9943,0.0555,0.0555
002,002077.jpg,1,0.9942,0.0543,0.0543
002,002078.jpg,1,0.9937,0.0551,0.0551
002,002079.jpg,1,0.9931,0.0692,0.0692
002,002080.jpg,1,0.9925,0.0676,0.0676
002,002081.jpg,1,0.9925,0.0761,0.0761
002,002082.jpg,1,0.9924,0.0772,0.0772
002,002083.jpg,1,0.9929,0.0689,0.0689
002,002084.jpg,1,0.9928,0.0689,0.0689
002,002085.jpg,1,0.9929,0.0679,0.0679
002,002086.jpg,1,0.9931,0.0772,0.0772
002,002087.jpg,1,0.9934,0.0756,0.0756
002,002088.jpg,1,0.9934,0.0555,0.0555
002,002089.jpg,1,0.9941,0.0547,0.0547
002,002090.jpg,1,0.9943,0.0555,0.0555
002,002091.jpg,1,0.9947,0.0547,0.0547
002,002092.jpg,1,0.9944,0.0563,0.0563
002,002093.jpg,1,0.9944,0.0472,0.0472
002,002094.jpg,1,0.9939,0.0483,0.0483
002,002095.jpg,1,0.9941,0.061,0.061
002,002096.jpg,1,0.9937,0.0603,0.0603
002,002097.jpg,1,0.9934,0.0598,0.0598
002,002098.jpg,1,0.9935,0.0575,0.0575
002,002099.jpg,1,0.9935,0.0457,0.0457
002,002100.jpg,1,0.9927,0.0575,0.0575
002,002100.jpg,2,0.9963,0.046,0.046
002,002101.jpg,1,0.9924,0.0568,0.0568
002,002101.jpg,2,0.9985,0.0506,0.0506
002,002102.jpg,1,0.9922,0.0453,0.0453
002,002102.jpg,2,0.9979,0.0511,0.0511
002,002103.jpg,1,0.9932,0.0453,0.0453
002,002103.jpg,2,0.9984,0.0486,0.0486
002,002104.jpg,1,0.9932,0.0468,0.0468
002,002104.jpg,2,0.9991,0.0358,0.0358
002,002105.jpg,1,0.9926,0.0468,0.0468
002,002105.jpg,2,0.9983,0.0376,0.0376
002,002106.jpg,1,0.9919,0.0727,0.0727
002,002106.jpg,2,0.9988,0.0348,0.0348
002,002107.jpg,1,0.9926,0.0743,0.0743
002,002107.jpg,2,0.9987,0.0617,0.0617
002,002108.jpg,1,0.9927,0.0731,0.0731
002,002108.jpg,2,0.999,0.0576,0.0576
002,002109.jpg,1,0.9928,0.074,0.074
002,002109.jpg,2,0.9986,0.0576,0.0576
002,002110.jpg,1,0.9925,0.074,0.074
002,002110.jpg,2,0.9987,0.045,0.045
002,002111.jpg,1,0.9925,0.0584,0.0584
002,002111.jpg,2,0.9983,0.045,0.045
002,002112.jpg,1,0.9966,0.0479,0.0479
002,002112.jpg,2,0.9981,0.0443,0.0443
002,002113.jpg,2,0.9678,0.6734,0.6734
002,002114.jpg,2,0.9631,0.0499,0.0499
002,002115.jpg,2,0.9627,0.6761,0.6761
002,002116.jpg,2,0.9445,0.6783,0.6783
002,002122.jpg,2,0.9593,0.1139,0.1139
002,002123.jpg,2,0.9994,0.0218,0.0218
002,002124.jpg,2,0.9998,0.0171,0.0171
002,002125.jpg,2,0.9999,0.0202,0.0202
002,002126.jpg,2,0.9975,0.0237,0.0237
002,002127.jpg,2,0.9987,0.025,0.025
002,002128.jpg,2,0.9978,0.0253,0.0253
002,002136.jpg,2,0.9726,0.1103,0.1103
002,002137.jpg,2,0.9739,0.1156,0.1156
002,002138.jpg,2,0.9739,0.1198,0.1198
002,002139.jpg,2,0.9752,0.1208,0.1208
002,002140.jpg,2,0.9776,0.1139,0.1139
002,002141.jpg,2,0.9753,0.1141,0.1141
002,002142.jpg,2,0.9761,0.1011,0.1011
002,002143.jpg,2,0.9783,0.0984,0.0984
002,002144.jpg,2,0.9787,0.0991,0.0991
002,002145.jpg,2,0.9785,0.1015,0.1015
002,002146.jpg,2,0.979,0.1005,0.1005
002,002147.jpg,2,0.9777,0.1165,0.1165
002,002148.jpg,2,0.9793,0.1015,0.1015
002,002149.jpg,2,0.8246,0.6597,0.6597
002,002198.jpg,1,0.9002,0.2246,0.2246
002,002199.jpg,1,0.8634,0.188,0.188
002,002200.jpg,1,0.8713,0.2125,0.2125
002,002201.jpg,1,0.893,0.1584,0.1584
002,002267.jpg,1,0.9984,0.0382,0.0382
002,002268.jpg,1,0.9933,0.0575,0.0575
002,002269.jpg,1,0.9935,0.0426,0.0426
002,002270.jpg,1,0.9924,0.0455,0.0455
002,002271.jpg,1,0.9911,0.0604,0.0604
002,002272.jpg,1,0.9909,0.067,0.067
002,002273.jpg,1,0.9907,0.0588,0.0588
002,002274.jpg,1,0.9887,0.0609,0.0609
002,002275.jpg,1,0.9821,0.0609,0.0609
002,002276.jpg,1,0.9824,0.0606,0.0606
002,002277.jpg,1,0.9886,0.0621,0.0621
002,002278.jpg,1,0.9903,0.0614,0.0614
002,002279.jpg,1,0.9741,0.1144,0.1144
002,002361.jpg,1,0.9953,0.0555,0.0555
002,002362.jpg,1,0.9939,0.0616,0.0616
002,002363.jpg,1,0.9921,0.0612,0.0612
002,002364.jpg,1,0.9924,0.0598,0.0598
002,002365.jpg,1,0.993,0.0445,0.0445
002,002366.jpg,1,0.9938,0.0434,0.0434
002,002367.jpg,1,0.9938,0.0445,0.0445
002,002368.jpg,1,0.9933,0.0458,0.0458
002,002369.jpg,1,0.9932,0.0458,0.0458
002,002370.jpg,1,0.9926,0.0447,0.0447
002,002371.jpg,1,0.9931,0.0434,0.0434
002,002372.jpg,1,0.9925,0.06,0.06
002,002373.jpg,1,0.993,0.0598,0.0598
002,002374.jpg,1,0.9937,0.0452,0.0452
002,002375.jpg,1,0.9924,0.0476,0.0476
002,002376.jpg,1,0.9895,0.0627,0.0627
002,002377.jpg,1,0.9885,0.0492,0.0492
002,002378.jpg,1,0.9872,0.0492,0.0492
002,002379.jpg,1,0.9875,0.0614,0.0614
002,002380.jpg,1,0.9875,0.0468,0.0468
002,002381.jpg,1,0.9882,0.0505,0.0505
002,002382.jpg,1,0.9909,0.0521,0.0521
002,002383.jpg,1,0.9922,0.0492,0.0492
002,002384.jpg,1,0.9371,0.1476,0.1476
002,002432.jpg,1,0.9959,0.065,0.065
002,002433.jpg,1,0.9969,0.6061,0.6061
002,002434.jpg,1,0.9961,0.605,0.605
002,002435.jpg,1,0.9939,0.6085,0.6085
004,004000.jpg,1,0.8171,0.3212,0.3212
004,004000.jpg,2,0.9796,0.0263,0.0263
004,004001.jpg,1,0.8254,0.319,0.319
004,004001.jpg,2,0.9862,0.0205,0.0205
004,004002.jpg,1,0.8342,0.3193,0.3193
004,004002.jpg,2,0.9877,0.0164,0.0164
004,004003.jpg,1,0.8247,0.2895,0.2895
004,004003.jpg,2,0.9948,0.0167,0.0167
004,004004.jpg,1,0.8308,0.2875,0.2875
004,004004.jpg,2,0.9887,0.0174,0.0174
004,004005.jpg,2,0.9867,0.0873,0.0873
004,004006.jpg,2,0.9883,0.0167,0.0167
004,004007.jpg,2,0.9899,0.06,0.06
004,004008.jpg,2,0.9954,0.0597,0.0597
004,004009.jpg,2,0.9979,0.0153,0.0153
004,004010.jpg,2,0.9982,0.0153,0.0153
004,004011.jpg,2,0.9978,0.0141,0.0141
004,004012.jpg,2,0.997,0.0141,0.0141
004,004013.jpg,2,0.9949,0.0141,0.0141
004,004014.jpg,2,0.9947,0.0149,0.0149
004,004015.jpg,1,0.8954,0.3061,0.3061
004,004015.jpg,2,0.995,0.0141,0.0141
004,004016.jpg,1,0.9083,0.2974,0.2974
004,004016.jpg,2,0.9932,0.0141,0.0141
004,004017.jpg,1,0.9072,0.2957,0.2957
004,004017.jpg,2,0.9918,0.0149,0.0149
004,004018.jpg,1,0.9084,0.2973,0.2973
004,004018.jpg,2,0.9919,0.0156,0.0156
004,004019.jpg,1,0.9079,0.295,0.295
004,004019.jpg,2,0.9923,0.016,0.016
004,004020.jpg,1,0.9046,0.2634,0.2634
004,004020.jpg,2,0.9967,0.0152,0.0152
004,004021.jpg,1,0.9103,0.296,0.296
004,004021.jpg,2,0.9945,0.0158,0.0158
004,004022.jpg,1,0.909,0.2965,0.2965
004,004022.jpg,2,0.9969,0.0152,0.0152
004,004023.jpg,1,0.906,0.2641,0.2641
004,004023.jpg,2,0.9976,0.016,0.016
004,004024.jpg,1,0.9064,0.2979,0.2979
004,004024.jpg,2,0.9963,0.0149,0.0149
004,004025.jpg,1,0.9031,0.2977,0.2977
004,004025.jpg,2,0.9964,0.015,0.015
004,004026.jpg,1,0.9,0.2697,0.2697
004,004026.jpg,2,0.9964,0.0158,0.0158
004,004027.jpg,1,0.9025,0.291,0.291
004,004027.jpg,2,0.9966,0.0709,0.0709
004,004028.jpg,1,0.8911,0.2598,0.2598
004,004028.jpg,2,0.9952,0.0702,0.0702
